"file_orig","registered_orig","spoiled_orig","cast_orig","rejected_orig","disputed_orig","objected_orig","valid_votes_orig","comments_orig","registered_fin","spoiled_fin","cast_fin","rejected_fin","disputed_fin","objected_fin","valid_votes_fin","comments_fin","registered_diff","spoiled_diff","cast_diff","rejected_diff","disputed_diff","objected_diff","valid_votes_diff"
"001-002-0006-003-1.pdf",755,1,529,8,0,0,522,NA,755,1,528,7,0,0,521,NA,0,0,-1,-1,0,0,-1
"001-002-0006-008-3.pdf",761,4,343,0,0,0,338,NA,761,4,344,6,0,0,338,NA,0,0,1,6,0,0,0
"001-002-0008-014-5.pdf",660,0,452,19,0,0,443,NA,660,0,453,10,0,0,443,NA,0,0,1,-9,0,0,0
"001-002-0008-019-2.pdf",781,8,623,9,0,0,617,NA,781,8,628,9,0,0,617,NA,0,0,5,0,0,0,0
"001-003-0012-020-1.pdf",547,1,NA,4,0,0,NA,NA,547,1,335,4,0,0,331,"This is a hand-written record and is of a different format",0,0,NA,0,0,0,NA
"001-004-0016-004-5.pdf",484,0,484,1,0,0,483,NA,687,0,484,1,0,0,483,NA,203,0,0,0,0,0,0
"001-004-0019-019-4.pdf",624,1,444,11,0,0,444,NA,624,0,444,1,0,0,443,NA,0,-1,0,-10,0,0,-1
"001-004-0019-021-1.pdf",726,5,447,5,0,0,437,NA,726,5,442,5,0,0,437,NA,0,0,-5,0,0,0,0
"001-004-0019-021-3.pdf",726,3,NA,2,0,0,408,NA,726,3,410,2,0,0,408,NA,0,0,NA,0,0,0,0
"001-004-0020-023-1.pdf",722,3,524,0,0,0,521,NA,722,3,521,0,0,0,521,NA,0,0,-3,0,0,0,0
"001-005-0021-003-2.pdf",686,0,454,1,0,0,453,NA,686,0,453,1,0,0,452,NA,0,0,-1,0,0,0,-1
"001-005-0022-013-4.pdf",638,1,388,10,0,0,373,NA,638,1,382,10,0,0,372,NA,0,0,-6,0,0,0,-1
"001-006-0026-005-1.pdf",507,0,363,6,0,0,369,NA,507,0,369,6,0,0,363,NA,0,0,6,0,0,0,-6
"001-006-0026-012-1.pdf",592,2,424,3,0,0,426,NA,592,2,429,3,0,0,426,NA,0,0,5,0,0,0,0
"001-006-0027-013-3.pdf",707,0,470,7,0,0,463,NA,707,0,470,9,0,0,461,NA,0,0,0,2,0,0,-2
"001-006-0027-017-1.pdf",750,4,502,7,0,0,502,NA,750,6,502,7,0,0,495,NA,0,2,0,0,0,0,-7
"001-006-0028-032-1.pdf",648,0,454,NA,0,0,NA,NA,648,0,454,6,0,0,448,NA,0,0,0,NA,0,0,NA
"001-006-0029-044-1.pdf",744,3,478,NA,0,0,NA,NA,744,3,478,2,0,0,476,NA,0,0,0,NA,0,0,NA
"001-006-0030-050-2.pdf",752,24,598,3,0,1,598,NA,752,34,598,3,0,0,595,NA,0,10,0,0,0,-1,-3
"002-007-0032-016-1.pdf",549,0,361,0,0,0,361,NA,545,0,361,0,0,0,361,NA,-4,0,0,0,0,0,0
"002-007-0033-026-1.pdf",344,1,271,7,0,0,265,NA,344,1,271,6,0,0,265,NA,0,0,0,-1,0,0,0
"002-007-0034-053-1.pdf",486,1,391,1,0,0,377,NA,486,1,390,1,0,0,389,NA,0,0,-1,0,0,0,12
"002-008-0037-058-1.pdf",279,0,194,10,0,0,185,NA,279,0,195,10,0,0,185,NA,0,0,1,0,0,0,0
"002-009-0039-023-4.pdf",650,2,359,2,0,0,357,NA,650,2,355,2,0,0,353,NA,0,0,-4,0,0,0,-4
"002-009-0040-035-1.pdf",619,1,337,1,0,0,336,NA,619,1,340,1,0,0,336,"I am not sure if casted's final is 340 or 337",0,0,3,0,0,0,0
"002-010-0049-141-1.pdf",312,0,NA,0,0,0,NA,NA,312,0,221,0,0,0,221,NA,0,0,NA,0,0,0,NA
"003-011-0052-012-6.pdf",693,0,NA,1,0,0,402,NA,693,0,404,1,0,0,403,NA,0,0,NA,0,0,0,1
"003-011-0053-027-1.pdf",566,0,374,2,0,0,374,NA,566,0,372,2,0,0,370,NA,0,0,-2,0,0,0,-4
"003-011-0053-030-1.pdf",603,0,417,3,0,0,417,NA,603,0,420,3,0,0,417,NA,0,0,3,0,0,0,0
"003-011-0057-080-1.pdf",309,1,237,6,0,0,236,NA,309,1,237,0,0,0,237,NA,0,0,0,-6,0,0,1
"003-012-0059-024-1.pdf",272,1,213,3,0,0,210,NA,272,1,212,3,0,0,209,NA,0,0,-1,0,0,0,-1
"003-012-0060-028-8.pdf",750,2,470,5,0,0,465,NA,750,2,475,10,0,0,465,NA,0,0,5,5,0,0,0
"003-013-0063-012-1.pdf",293,NA,184,1,0,0,183,NA,293,0,184,1,0,0,183,NA,0,NA,0,0,0,0,0
"003-013-0065-039-1.pdf",522,4,NA,2,0,0,309,NA,522,4,311,2,0,0,309,NA,0,0,NA,0,0,0,0
"003-013-0065-042-1.pdf",531,0,299,2,0,0,296,NA,531,0,298,2,0,0,296,NA,0,0,-1,0,0,0,0
"003-013-0066-067-1.pdf",417,1,267,0,0,NA,267,NA,417,1,267,0,0,0,267,NA,0,0,0,0,0,NA,0
"003-014-0070-031-1.pdf",NA,0,358,6,0,0,350,NA,538,0,358,4,0,0,354,NA,NA,0,0,-2,0,0,4
"003-014-0070-042-1.pdf",630,1,372,7,0,0,315,NA,630,1,372,7,0,0,365,NA,0,0,0,0,0,0,50
"003-015-0072-043-1.pdf",503,2,312,4,0,0,312,NA,503,2,312,4,0,0,306,NA,0,0,0,0,0,0,-6
"003-016-0079-054-1.pdf",578,1,401,1,0,0,399,NA,578,1,401,2,0,0,399,NA,0,0,0,1,0,0,0
"003-017-0081-034-1.pdf",NA,0,NA,7,0,0,449,NA,582,0,456,7,0,0,449,NA,NA,0,NA,0,0,0,0
"004-018-0087-020-1.pdf",325,2,252,3,0,0,249,NA,325,2,255,3,0,0,252,NA,0,0,3,0,0,0,3
"005-021-0101-013-1.pdf",785,0,714,29,0,0,NA,NA,785,0,714,29,0,0,685,NA,0,0,0,0,0,0,NA
"006-025-0122-043-1.pdf",463,1,362,2,0,0,360,NA,463,1,363,2,0,0,361,NA,0,0,1,0,0,0,1
"006-026-0129-057-1.pdf",447,0,399,8,0,0,399,NA,447,0,399,8,0,0,391,NA,0,0,0,0,0,0,-8
"006-026-0130-063-1.pdf",779,1,615,2,0,0,611,NA,779,1,615,4,0,0,611,NA,0,0,0,2,0,0,0
"007-027-0133-025-3.pdf",768,0,388,4,0,0,384,NA,768,0,392,4,0,0,388,NA,0,0,4,0,0,0,4
"007-028-0138-020-1.pdf",556,1,498,1,0,0,492,NA,556,1,498,1,0,0,497,NA,0,0,0,0,0,0,5
"007-029-0141-010-1.pdf",532,25,471,0,0,0,475,NA,532,25,475,0,0,0,475,NA,0,0,4,0,0,0,0
"007-030-0149-018-1.pdf",342,1,314,0,0,0,314,NA,342,1,313,0,0,0,315,NA,0,0,-1,0,0,0,1
"008-034-0168-001-2.pdf",587,7,444,7,0,0,437,NA,587,0,444,7,0,0,437,NA,0,-7,0,0,0,0,0
"008-034-0168-001-3.pdf",586,0,NA,0,0,0,430,NA,586,0,430,0,0,0,430,NA,0,0,NA,0,0,0,0
"008-036-0177-021-2.pdf",520,2,453,5,0,0,450,NA,520,2,453,3,0,0,450,NA,0,0,0,-2,0,0,0
"008-036-0178-028-1.pdf",628,2,535,1,0,0,534,NA,624,2,535,1,0,0,534,NA,-4,0,0,0,0,0,0
"008-037-0180-009-1.pdf",614,1,595,2,0,0,493,NA,614,1,495,2,0,0,493,NA,0,0,-100,0,0,0,0
"008-038-0186-036-1.pdf",397,0,366,17,0,0,356,NA,397,0,366,10,0,0,356,NA,0,0,0,-7,0,0,0
"008-038-0188-077-1.pdf",413,1,365,1,0,0,354,NA,413,1,355,1,0,0,354,NA,0,0,-10,0,0,0,0
"009-041-0204-026-1.pdf",625,2,603,6,0,0,605,NA,625,2,603,6,0,0,597,NA,0,0,0,0,0,0,-8
"009-041-0205-042-1.pdf",458,0,395,0,0,0,393,NA,458,0,395,0,0,0,395,NA,0,0,0,0,0,0,2
"009-042-0209-036-1.pdf",179,1,176,0,0,0,179,NA,179,1,179,0,0,0,179,NA,0,0,3,0,0,0,0
"010-045-0223-033-4.pdf",NA,1,562,0,0,0,561,NA,611,1,562,1,0,0,561,NA,NA,0,0,1,0,0,0
"010-045-0225-060-1.pdf",641,1,548,3,0,0,548,NA,641,1,548,3,0,0,545,"The stream says it's ""A."" Shouldn't it be a number instead?",0,0,0,0,0,0,-3
"012-051-0252-024-1.pdf",446,2,435,8,0,8,427,NA,446,2,435,8,0,0,427,NA,0,0,0,0,0,-8,0
"012-051-0253-046-1.pdf",234,NA,201,5,0,0,196,NA,234,0,201,5,0,0,196,NA,0,NA,0,0,0,0,0
"012-051-0253-048-1.pdf",439,0,NA,2,0,0,390,NA,439,0,390,2,0,0,388,NA,0,0,NA,0,0,0,-2
"012-051-0255-088-1.pdf",180,0,169,3,0,0,166,NA,180,0,167,3,0,0,164,NA,0,0,-2,0,0,0,-2
"012-052-0256-015-1.pdf",539,1,497,3,0,0,497,NA,539,1,497,3,0,0,494,NA,0,0,0,0,0,0,-3
"012-052-0256-020-1.pdf",783,0,654,13,0,0,648,NA,783,0,654,13,0,0,641,NA,0,0,0,0,0,0,-7
"012-052-0257-029-2.pdf",491,0,NA,0,0,0,412,NA,491,0,414,0,0,0,414,NA,0,0,NA,0,0,0,2
"012-052-0257-036-1.pdf",123,0,NA,3,0,0,111,NA,123,0,107,0,0,0,107,NA,0,0,NA,-3,0,0,-4
"012-052-0258-066-1.pdf",567,3,486,6,0,0,481,NA,567,3,487,6,0,0,481,NA,0,0,1,0,0,0,0
"012-052-0259-088-1.pdf",776,1,NA,5,0,0,NA,NA,776,1,673,5,0,0,668,NA,0,0,NA,0,0,0,NA
"012-052-0259-092-1.pdf",616,1,548,3,0,0,544,NA,616,1,547,3,0,0,544,NA,0,0,-1,0,0,0,0
