X,FILENAME,CONSTITUENCY.NUMBER,POLLING.STATION.NUMBER,STREAM.NUMBER,FIRST.PAGE,DOES.THE.FORM.HAVE.A.SERIAL.NUMBER.,DOES.THE.FORM.HAVE.A.QR.CODE.,DO.THE.CONSTITUENCY..POLLING.STATION..AND.STREAM.DETAILS.IN.THE.FORM.MATCH.THE.ONES.LISTED.ON.THIS.SPREADSHEET.,DO.THE.VOTE.TALLIES.SHOW.ANY.SIGN.OF.CROSSING.OUT.OR.EDITING.,IS.THE.PRESIDING.OFFICER.SIGNATURE.PRESENT.,IS.THE.FIRST.PAGE.STAMPED,SECOND.PAGE,IS.THE.DEPUTY.PRESIDING.OFFICER.SIGNITURE.PRESENT.,ARE.THE.PRESIDING.AND.DEPUTY.PRESIDING.OFFICER.SIGNATURES.DIFFERENT.,IS.THERE.AT.LEAST.ONE.CANDIDATE.CANDIDATE.AGENT.LISTED.,IS.THERE.AT.LEAST.ONE.SIGNITURE.OF.A.CANDIDATE.CANDIDATE.AGENT.,FOR.EACH.LISTED.CANDIDATE.CANDIDATE.AGENT..IS.THERE.A.SIGNATURE.,DO.THE.CANDIDATE.CANDIDATE.AGENT.SIGNATURES.APPEAR.DIFFERENT.,IS.ANYTHING.WRITTEN.IN.THE..REASONS.FOR.REFUSAL.TO.SIGN..COLUMN.,IS.THE.SECOND.PAGE.STAMPED.,DID.THE.PRESIDING.OFFICER.GIVE.ANY.COMMENT.,IS.THE.SECOND.PAGE.MISSING.,DID.THE.DOCUMENT.SCAN.CORRECTLY.,TALLIES.EDITED,EDITED.RESULTS
NA,NA,NA,NA,NA,NA,serial number?,QR code?,sheet/filename match?,editing results?,PO signature?,1st pg. stamped?,NA,DPO signature?,Different signatures?,Agents?,At least one agent signed?,All agent signed?,Different sign?,Refusals?,Stamped?,Comments?,Missing page 2?,Good scan?,NA,NA
Final,001-001-0001-001-4.pdf,1,1,4,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,001-001-0001-002-1.pdf,1,2,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,001-001-0003-011-3.pdf,1,11,3,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,1,1
Final,001-001-0003-012-2.pdf,1,12,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,001-001-0004-018-1.pdf,1,18,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,001-001-0004-018-2.pdf,1,18,2,NA,1,1,1,1,1,1,NA,1,1,1,1,0,1,0,0,0,0,1,0,1
Final,001-001-0004-018-3.pdf,1,18,3,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,1
Final,001-001-0004-020-3.pdf,1,20,3,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,1,1
Final,001-001-0005-021-1.pdf,1,21,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,1
Final,001-001-0005-024-2.pdf,1,24,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,001-001-0005-024-3.pdf,1,24,3,NA,1,1,1,1,1,1,NA,1,1,1,0,0,0,0,1,1,0,1,0,1
Final,001-002-0006-001-3.pdf,2,1,3,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,0
Final,001-002-0006-003-1.pdf,2,3,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,001-002-0006-007-1.pdf,2,7,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,1,1
Final,001-002-0006-008-3.pdf,2,8,3,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,001-002-0007-013-1.pdf,2,13,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,001-002-0008-014-2.pdf,2,14,2,NA,1,1,1,0,1,0,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,001-002-0008-014-5.pdf,2,14,5,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,001-002-0008-015-1.pdf,2,15,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,1,1
Final,001-002-0008-015-3.pdf,2,15,3,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,001-002-0008-016-1.pdf,2,16,1,NA,1,1,1,0,1,0,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,001-002-0008-018-2.pdf,2,18,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,0,0,1,0,0
Final,001-002-0008-019-2.pdf,2,19,2,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,1
Final,001-002-0008-020-2.pdf,2,20,2,NA,1,1,1,1,1,0,NA,1,1,1,1,1,1,0,0,1,0,1,1,1
Final,001-002-0008-020-5.pdf,2,20,5,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,001-003-0009-004-2.pdf,3,4,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,001-003-0010-005-1.pdf,3,5,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,1,1
Final,001-003-0010-007-6.pdf,3,7,6,NA,1,0,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,001-003-0011-012-1.pdf,3,12,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,001-003-0011-013-1.pdf,3,13,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,001-003-0011-013-6.pdf,3,13,6,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,001-003-0012-016-2.pdf,3,16,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,001-003-0012-017-1.pdf,3,17,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,1
Final,001-003-0012-020-1.pdf,3,20,1,NA,1,0,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,1
Final,001-003-0013-022-2.pdf,3,22,2,NA,1,0,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,001-003-0013-026-2.pdf,3,26,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,001-003-0014-032-1.pdf,3,32,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,001-003-0015-035-2.pdf,3,35,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,001-003-0015-036-2.pdf,3,36,2,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,1
Final,001-003-0015-038-1.pdf,3,38,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,001-003-0015-038-2.pdf,3,38,2,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,1,1
Final,001-004-0016-004-5.pdf,4,4,5,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,001-004-0016-006-1.pdf,4,6,1,NA,1,1,1,0,1,0,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,001-004-0017-008-4.pdf,4,8,4,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,1
Final,001-004-0017-009-2.pdf,4,9,2,NA,1,1,1,0,1,0,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,001-004-0017-011-1.pdf,4,11,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,001-004-0018-012-3.pdf,4,12,3,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,001-004-0018-014-1.pdf,4,14,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,1,0,1,0,1,0,0
Final,001-004-0018-015-3.pdf,4,15,3,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,001-004-0019-017-1.pdf,4,17,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,001-004-0019-018-3.pdf,4,18,3,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,001-004-0019-018-4.pdf,4,18,4,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,001-004-0019-019-1.pdf,4,19,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,001-004-0019-019-4.pdf,4,19,4,NA,1,1,1,1,1,0,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,001-004-0019-021-1.pdf,4,21,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,1
Final,001-004-0019-021-3.pdf,4,21,3,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,001-004-0020-023-1.pdf,4,23,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,001-004-0020-026-1.pdf,4,26,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,1
Final,001-004-0020-026-2.pdf,4,26,2,NA,1,1,1,0,1,0,NA,1,1,1,1,1,1,0,0,1,0,1,1,1
Final,001-004-0020-028-1.pdf,4,28,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,001-004-0020-030-3.pdf,4,30,3,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,0,0
Final,001-005-0021-003-2.pdf,5,3,2,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,1
Final,001-005-0021-003-3.pdf,5,3,3,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,001-005-0021-004-1.pdf,5,4,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,001-005-0022-009-1.pdf,5,9,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,1,1
Final,001-005-0022-013-4.pdf,5,13,4,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,1
Final,001-005-0023-014-1.pdf,5,14,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,001-005-0023-017-1.pdf,5,17,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,001-005-0024-018-5.pdf,5,18,5,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,001-005-0024-019-3.pdf,5,19,3,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,1
Final,001-005-0025-020-2.pdf,5,20,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,0,0
Final,001-005-0025-021-2.pdf,5,21,2,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,1,1,0,1,1,1
Final,001-006-0026-005-1.pdf,6,5,1,NA,1,1,1,1,1,1,NA,1,1,1,1,0,1,0,0,0,0,1,0,1
Final,001-006-0026-012-1.pdf,6,12,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,1
Final,001-006-0027-013-3.pdf,6,13,3,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,1
Final,001-006-0027-017-1.pdf,6,17,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,0,0,0,1,0,1,1,1
Final,001-006-0027-020-1.pdf,6,20,1,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,1
Final,001-006-0027-022-1.pdf,6,22,1,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,0,0,1,0,0
Final,001-006-0028-024-3.pdf,6,24,3,NA,1,1,1,0,1,1,NA,1,1,1,1,1,1,0,0,1,0,1,1,1
